epoch,train_loss,train_l1,train_ssim_loss,train_perceptual,val_loss,lr,time_seconds
252,0.449824,0.038982,0.344362,0.664800,0.457047,0.000018,84.7
253,0.455267,0.040141,0.348720,0.664058,0.469098,0.000018,84.7
254,0.456849,0.039302,0.351240,0.663079,0.461968,0.000017,84.8
255,0.449933,0.038411,0.344664,0.668586,0.459319,0.000017,84.7
256,0.449991,0.038439,0.344859,0.666933,0.464780,0.000017,84.7
257,0.453663,0.038926,0.348485,0.662519,0.461992,0.000016,84.7
258,0.450248,0.038529,0.344880,0.668389,0.454564,0.000016,84.7
259,0.448042,0.038249,0.342987,0.668059,0.456576,0.000016,84.7
260,0.450464,0.038500,0.345466,0.664974,0.458643,0.000015,84.7
261,0.451769,0.038539,0.346826,0.664034,0.461859,0.000015,84.7
262,0.451167,0.038586,0.346000,0.665809,0.458889,0.000015,84.7
263,0.452038,0.038787,0.346925,0.663258,0.465809,0.000014,84.7
264,0.451789,0.038613,0.346799,0.663775,0.459755,0.000014,84.7
265,0.447847,0.038217,0.342606,0.670246,0.455130,0.000014,84.7
266,0.456441,0.039857,0.349634,0.669499,0.462635,0.000014,84.7
267,0.454817,0.039113,0.348367,0.673381,0.467077,0.000013,84.7
268,0.458804,0.039471,0.351711,0.676216,0.466553,0.000013,84.7
269,0.457413,0.039234,0.350179,0.679998,0.464878,0.000013,84.7
270,0.455205,0.038922,0.348231,0.680522,0.462588,0.000012,84.7
271,0.453043,0.038834,0.345988,0.682210,0.457774,0.000012,84.6
272,0.452166,0.038704,0.345422,0.680402,0.460317,0.000012,84.7
273,0.451389,0.038749,0.344643,0.679964,0.458129,0.000011,84.6
274,0.450891,0.038654,0.344043,0.681940,0.457891,0.000011,84.7
275,0.450135,0.038693,0.343838,0.676045,0.461219,0.000011,84.7
276,0.450757,0.038754,0.344722,0.672803,0.457634,0.000011,84.7
277,0.450098,0.038762,0.344210,0.671259,0.459941,0.000010,84.7
278,0.450751,0.038755,0.345148,0.668481,0.463442,0.000010,84.7
279,0.450960,0.038669,0.345588,0.667023,0.458915,0.000010,84.7
280,0.449364,0.038710,0.343922,0.667313,0.457914,0.000010,84.7
281,0.448832,0.038531,0.343533,0.667683,0.459576,0.000009,84.7
282,0.447871,0.038424,0.342714,0.667333,0.456132,0.000009,84.7
283,0.447976,0.038487,0.342527,0.669617,0.456606,0.000009,84.7
284,0.451247,0.038940,0.345667,0.666408,0.459842,0.000009,84.6
285,0.451831,0.038743,0.346413,0.666749,0.459062,0.000008,84.6
286,0.449796,0.038624,0.344487,0.666840,0.458233,0.000008,187.4
287,0.448583,0.038407,0.343337,0.668392,0.455836,0.000008,86.9
288,0.447604,0.038399,0.342416,0.667888,0.454982,0.000008,84.6
289,0.448415,0.038560,0.343214,0.666406,0.460120,0.000007,84.8
290,0.451912,0.038839,0.346670,0.664028,0.461575,0.000007,84.8
291,0.451099,0.038674,0.345964,0.664609,0.458411,0.000007,84.8
292,0.449696,0.038535,0.344463,0.666975,0.457861,0.000007,84.8
293,0.449478,0.038665,0.344185,0.666282,0.457661,0.000006,84.9
294,0.448908,0.038514,0.343724,0.666698,0.454737,0.000006,84.9
295,0.446769,0.038228,0.341668,0.668732,0.455824,0.000006,84.9
296,0.446667,0.038377,0.341544,0.667459,0.453242,0.000006,84.9
297,0.446601,0.038300,0.341676,0.666248,0.453977,0.000006,84.9
298,0.446061,0.038202,0.341121,0.667370,0.454400,0.000005,84.9
299,0.447094,0.038272,0.342102,0.667195,0.456730,0.000005,85.0
300,0.448951,0.038498,0.343814,0.666397,0.454664,0.000005,84.9
301,0.447521,0.038410,0.342420,0.666909,0.455337,0.000005,84.9
302,0.446804,0.038254,0.341683,0.668676,0.454125,0.000005,84.9
303,0.447403,0.038557,0.342063,0.667832,0.454584,0.000004,85.0
304,0.446840,0.038621,0.341475,0.667442,0.455252,0.000004,84.9
305,0.447419,0.038774,0.341962,0.666824,0.453716,0.000004,85.0
